"appName","fileId","subId","classType","name"
"Tomcat8","72","8","NormalInterfaceDeclaration","Request"
"Tomcat8","72","9","NormalClassDeclaration","AliasRequest"
"Tomcat8","73","1","NormalClassDeclaration","TrustStoreCallback"
"Tomcat8","74","1","NormalInterfaceDeclaration","ClientAuth"
"Tomcat8","75","1","NormalInterfaceDeclaration","AuthConfig"
"Tomcat8","76","1","NormalClassDeclaration","AuthConfigFactory"
"Tomcat8","77","1","NormalInterfaceDeclaration","AuthConfigProvider"
"Tomcat8","78","1","NormalInterfaceDeclaration","ClientAuthConfig"
"Tomcat8","79","1","NormalInterfaceDeclaration","ClientAuthContext"
"Tomcat8","80","1","NormalInterfaceDeclaration","RegistrationListener"
"Tomcat8","81","1","NormalInterfaceDeclaration","ServerAuthConfig"
"Tomcat8","82","1","NormalInterfaceDeclaration","ServerAuthContext"
"Tomcat8","83","1","NormalInterfaceDeclaration","MessageInfo"
"Tomcat8","84","1","NormalClassDeclaration","MessagePolicy"
"Tomcat8","84","7","NormalInterfaceDeclaration","ProtectionPolicy"
"Tomcat8","84","8","NormalInterfaceDeclaration","Target"
"Tomcat8","84","9","NormalClassDeclaration","TargetPolicy"
"Tomcat8","85","1","NormalInterfaceDeclaration","ClientAuthModule"
"Tomcat8","86","1","NormalInterfaceDeclaration","ServerAuthModule"
"Tomcat8","87","1","NormalInterfaceDeclaration","ServerAuth"
"Tomcat8","88","1","AnnotationTypeDeclaration","HandlesTypes"
"Tomcat8","89","1","AnnotationTypeDeclaration","HttpConstraint"
"Tomcat8","90","1","AnnotationTypeDeclaration","HttpMethodConstraint"
"Tomcat8","91","1","AnnotationTypeDeclaration","MultipartConfig"
"Tomcat8","92","1","AnnotationTypeDeclaration","ServletSecurity"
"Tomcat8","92","2","EnumDeclaration","EmptyRoleSemantic"
"Tomcat8","92","3","EnumDeclaration","TransportGuarantee"
"Tomcat8","93","1","AnnotationTypeDeclaration","WebFilter"
"Tomcat8","94","1","AnnotationTypeDeclaration","WebInitParam"
"Tomcat8","95","1","AnnotationTypeDeclaration","WebListener"
"Tomcat8","96","1","AnnotationTypeDeclaration","WebServlet"
"Tomcat8","97","1","NormalInterfaceDeclaration","AsyncContext"
"Tomcat8","98","1","NormalClassDeclaration","AsyncEvent"
"Tomcat8","99","1","NormalInterfaceDeclaration","AsyncListener"
"Tomcat8","100","1","NormalInterfaceDeclaration","JspConfigDescriptor"
"Tomcat8","101","1","NormalInterfaceDeclaration","JspPropertyGroupDescriptor"
"Tomcat8","102","1","NormalInterfaceDeclaration","TaglibDescriptor"
"Tomcat8","103","1","EnumDeclaration","DispatcherType"
"Tomcat8","104","1","NormalInterfaceDeclaration","Filter"
"Tomcat8","105","1","NormalInterfaceDeclaration","FilterChain"
"Tomcat8","106","1","NormalInterfaceDeclaration","FilterConfig"
"Tomcat8","107","1","NormalInterfaceDeclaration","FilterRegistration"
"Tomcat8","107","6","NormalInterfaceDeclaration","Dynamic"
"Tomcat8","108","1","NormalClassDeclaration","GenericFilter"
"Tomcat8","109","1","NormalClassDeclaration","GenericServlet"
"Tomcat8","110","1","NormalClassDeclaration","Cookie"
"Tomcat8","111","1","NormalClassDeclaration","HttpFilter"
"Tomcat8","112","1","NormalClassDeclaration","HttpServlet"
"Tomcat8","112","34","NormalClassDeclaration","TomcatHack"
"Tomcat8","112","35","NormalClassDeclaration","NoBodyResponse"
"Tomcat8","112","36","NormalClassDeclaration","NoBodyOutputStream"
"Tomcat8","112","37","NormalClassDeclaration","NoBodyPrintWriter"
"Tomcat8","112","38","NormalClassDeclaration","NoBodyAsyncContextListener"
"Tomcat8","113","1","NormalInterfaceDeclaration","HttpServletMapping"
"Tomcat8","114","1","NormalInterfaceDeclaration","HttpServletRequest"
"Tomcat8","115","1","NormalClassDeclaration","HttpServletRequestWrapper"
"Tomcat8","116","1","NormalInterfaceDeclaration","HttpServletResponse"
"Tomcat8","117","1","NormalClassDeclaration","HttpServletResponseWrapper"
"Tomcat8","118","1","NormalInterfaceDeclaration","HttpSession"
"Tomcat8","119","1","NormalInterfaceDeclaration","HttpSessionActivationListener"
"Tomcat8","120","1","NormalInterfaceDeclaration","HttpSessionAttributeListener"
"Tomcat8","121","1","NormalClassDeclaration","HttpSessionBindingEvent"
"Tomcat8","122","1","NormalInterfaceDeclaration","HttpSessionBindingListener"
"Tomcat8","123","1","NormalClassDeclaration","HttpSessionEvent"
"Tomcat8","124","1","NormalInterfaceDeclaration","HttpSessionIdListener"
"Tomcat8","125","1","NormalInterfaceDeclaration","HttpSessionListener"
